Country,Capital,Continent,2022 population,Area,World Population Percentage
Afghanistan,Kabul,Asia,41128771,652230,0.52
Albania,Tirana,Europe,2842321,28748,0.04
Algeria,Algiers,Africa,44903225,2381741,0.56
American Samoa,Pago Pago,Oceania,44273,199,0
Andorra,Andorra la Vella,Europe,79824,468,0
Angola,Luanda,Africa,35588987,1246700,0.45
Anguilla,The Valley,North America,15857,91,0
Antigua and Barbuda,Saint John’s,North America,93763,442,0
Argentina,Buenos Aires,South America,45510318,2780400,0.57
Armenia,Yerevan,Asia,2780469,29743,0.03
Aruba,Oranjestad,North America,106445,180,0
Australia,Canberra,Oceania,26177413,7692024,0.33
Austria,Vienna,Europe,8939617,83871,0.11
Azerbaijan,Baku,Asia,10358074,86600,0.13
Bahamas,Nassau,North America,409984,13943,0.01
Bahrain,Manama,Asia,1472233,765,0.02
Bangladesh,Dhaka,Asia,171186372,147570,2.15
Barbados,Bridgetown,North America,281635,430,0
Belarus,Minsk,Europe,9534954,207600,0.12
Belgium,Brussels,Europe,11655930,30528,0.15
Belize,Belmopan,North America,405272,22966,0.01
Benin,Porto-Novo,Africa,13352864,112622,0.17
Bermuda,Hamilton,North America,64184,54,0
Bhutan,Thimphu,Asia,782455,38394,0.01
Bolivia,Sucre,South America,12224110,1098581,0.15
Bosnia and Herzegovina,Sarajevo,Europe,3233526,51209,0.04
Botswana,Gaborone,Africa,2630296,582000,0.03
Brazil,Brasilia,South America,215313498,8515767,2.7
British Virgin Islands,Road Town,North America,31305,151,0
Brunei,Bandar Seri Begawan,Asia,449002,5765,0.01
Bulgaria,Sofia,Europe,6781953,110879,0.09
Burkina Faso,Ouagadougou,Africa,22673762,272967,0.28
Burundi,Bujumbura,Africa,12889576,27834,0.16
Cambodia,Phnom Penh,Asia,16767842,181035,0.21
Cameroon,Yaounde,Africa,27914536,475442,0.35
Canada,Ottawa,North America,38454327,9984670,0.48
Cape Verde,Praia,Africa,593149,4033,0.01
Cayman Islands,George Town,North America,68706,264,0
Central African Republic,Bangui,Africa,5579144,622984,0.07
Chad,N'Djamena,Africa,17723315,1284000,0.22
Chile,Santiago,South America,19603733,756102,0.25
China,Beijing,Asia,1425887337,9706961,17.88
Colombia,Bogota,South America,51874024,1141748,0.65
Comoros,Moroni,Africa,836774,1862,0.01
Cook Islands,Avarua,Oceania,17011,236,0
Costa Rica,San José,North America,5180829,51100,0.06
Croatia,Zagreb,Europe,4030358,56594,0.05
Cuba,Havana,North America,11212191,109884,0.14
Curacao,Willemstad,North America,191163,444,0
Cyprus,Nicosia,Europe,1251488,9251,0.02
Czech Republic,Prague,Europe,10493986,78865,0.13
Denmark,Copenhagen,Europe,5882261,43094,0.07
Djibouti,Djibouti,Africa,1120849,23200,0.01
